Current Date:,11/14/2023,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
11/13/2023
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.051,.050,C,C,.054,.053,.051,.046,.045,.057,.057,.058,.058,.055,.052,.055,.049,.046,.045,.052,.058,.059,.058,.056,.052,.059,21
,CHULA VISTA,.016,.011,C,C,.019,.018,.015,.012,.015,.023,.031,.032,.045,.051,.053,.050,.047,.019,.004,.002,.001,.005,.016,.022,.023,.053,14
,DOWNTOWN SES,.022,.027,C,C,.022,.009,.009,.009,.014,.027,.025,.027,.035,.045,.049,.046,.038,.036,.012,.003,.003,.004,.012,.004,.021,.049,14
,EL CAJON LES,.011,.009,C,C,C,.004,.004,M,C,C,C,.048,.044,.044,.052,.049,.043,.033,.021,.018,.013,.010,.009,.005,.024,.052,14
,KEARNY MESA,.037,.038,C,C,.037,.028,.029,.035,.041,.038,.046,.043,.050,.056,.057,.057,.046,.028,.026,.018,.015,.031,.034,.034,.037,.057,14
,OTAY MESA DVN,.024,.015,C,C,.025,.023,.014,.015,.021,.026,M,.046,.045,.054,.054,.053,.053,.043,.032,.029,.043,.028,.020,.013,.032,.054,13
,PENDLETON,.029,.028,C,C,.029,.027,.026,.026,.029,.032,.038,.047,.048,.047,.045,.048,.048,P,,,P,.035,.037,.035,.036,.048,12
03 NO2 PPB,ALPINE,1.9,1.8,C,C,.4,.9,2.5,8.1,9.9,1.3,1.1,1.1,5.5,11.8,16.7,13.3,14.6,14.2,12.6,5.6,1.6,1.3,1.1,1.5,5.8,16.7,14
,CARMEL MT RCH,27.0,27.3,C,C,15.5,21.9,38.6,43.7,45.6,21.6,25.2,25.9,28.7,23.4,22.6,30.6,25.8,34.0,48.2,42.1,48.2,34.7,43.5,35.6,32.2,48.2,18
,CHULA VISTA,20.1,22.9,C,C,16.1,17.6,24.6,30.9,31.2,31.8,31.9,26.6,14.2,8.7,8.6,10.0,10.1,31.7,43.2,45.1,46.0,39.4,25.0,21.3,25.3,46.0,20
,DOWNTOWN SES,18.0,11.5,C,C,14.9,26.5,30.1,29.8,34.0,23.7,30.8,30.2,27.3,15.7,10.9,13.3,19.0,17.8,41.6,48.5,43.0,39.4,32.8,36.6,27.0,48.5,19
,EL CAJON LES,18.4,17.0,C,C,C,17.7,18.2,M,C,C,C,8.9,19.0,20.3,8.9,10.0,11.2,16.0,23.2,22.4,25.3,25.2,24.2,27.1,18.4,27.1,23
,KEARNY MESA,9.6,7.7,C,C,8.1,17.5,17.5,12.3,9.0,13.0,10.5,16.0,14.1,5.8,5.0,5.8,16.0,28.0,26.0,32.9,34.3,19.0,12.6,12.9,15.1,34.3,20
,OTAY MESA DVN,21.4,29.5,C,C,17.3,20.1,33.0,33.9,31.4,35.4,M,17.3,19.4,12.4,6.5,7.4,6.4,12.9,19.7,22.7,8.8,23.7,32.6,35.7,21.3,35.7,23
,PENDLETON,10.1,8.8,C,C,6.9,8.0,9.3,9.2,9.2,8.8,10.4,7.7,8.8,9.5,12.2,8.8,5.9,P,,,P,8.9,8.6,7.9,8.8,12.2,14
,SAN YSIDRO,40.8,37.3,C,C,31.6,35.5,37.0,36.0,32.8,31.6,27.3,18.4,12.2,8.9,15.2,17.5,19.1,36.4,41.9,38.5,45.5,47.6,41.0,51.2,31.9,51.2,23
04 NO PPB,ALPINE,.0,.0,C,C,.0,.0,.0,1.4,2.8,.1,.0,.0,.8,2.1,2.4,1.0,.3,1.0,1.2,.0,.0,.0,.0,.0,.5,2.8,08
,OTAY MESA DVN,.4,.6,C,C,2.6,2.3,6.7,23.7,19.1,17.9,M,4.5,4.1,2.6,1.2,.9,.5,.7,.4,1.1,.9,1.0,.8,1.9,4.4,23.7,07
,PENDLETON,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,P,,,M,M,M,M,,P,P
06 CO PPM,CARMEL MT RCH,.7,.6,C,C,.4,.5,.8,1.6,1.5,.5,.6,.6,.5,.6,.6,.7,.6,.7,1.0,1.1,1.1,.8,1.0,.6,.8,1.6,07
,SAN YSIDRO,1.3,1.4,C,C,1.4,1.3,1.3,.8,.9,.7,.6,.4,.4,.4,.4,.5,.6,.8,.8,1.1,1.4,1.1,.6,1.8,.9,1.8,23
10 INTMP °C,ALPINE,25,25,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,25,26,02
,CARMEL MT RCH,24,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,24,25,01
,CHULA VISTA,24,24,23,23,23,24,24,24,25,26,26,26,26,26,26,26,26,26,26,26,25,25,24,24,25,26,09
,DOWNTOWN SES,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,00
,EL CAJON LES,26,26,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,27,26,27,27,27,27,02
,KEARNY MESA,25,25,24,25,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,24,25,25,25,25,25,25,00
,OTAY MESA DVN,24,24,24,25,25,24,24,24,25,25,25,25,25,25,24,23,22,24,24,24,25,24,24,25,24,25,03
,PENDLETON,25,25,25,25,25,24,24,24,24,25,24,24,24,24,24,24,25,P,,,P,26,26,26,25,26,21
,SAN YSIDRO,23,23,23,23,23,24,23,23,23,23,23,24,25,26,24,26,24,25,25,24,24,23,23,23,24,26,13
11 PM2.5 µg/M3,ALPINE,3.1,2.9,2.7,2.6,2.7,2.8,2.9,3.3,3.4,2.9,2.8,2.8,4.0,5.9,7.8,7.3,6.3,5.9,5.5,5.4,3.7,3.1,3.1,3.5,4.0,7.8,14
,CARMEL MT RCH,5.9,5.7,5.8,5.9,5.5,6.0,6.9,7.4,6.8,5.7,5.9,7.1,7.2,8.0,6.3,6.7,6.9,7.7,7.6,7.4,8.2,8.2,8.2,7.9,6.8,8.2,20
,CHULA VISTA,12.2,16.1,14.6,27.7,35.5,21.6,21.9,17.1,14.4,14.2,15.1,18.0,M,M,10.1,10.3,8.4,9.4,11.7,12.0,14.6,13.0,10.4,9.5,15.3,35.5,04
,DOWNTOWN SES,8.2,6.9,9.2,15.5,12.1,11.2,7.7,8.4,12.7,8.4,9.1,13.2,12.3,8.9,6.9,8.4,14.3,16.6,18.7,18.1,19.7,19.7,12.5,10.4,12.0,19.7,20
,EL CAJON LES,9.3,9.2,9.1,8.7,8.7,9.6,9.2,11.3,11.5,9.3,6.7,4.9,7.9,9.9,6.2,5.9,6.4,8.5,9.6,10.8,11.1,10.9,10.4,11.8,9.0,11.8,23
,KEARNY MESA,6.0,5.7,5.8,5.5,5.0,4.7,4.3,4.7,6.2,7.3,5.8,10.0,8.3,5.8,6.7,6.8,8.0,7.0,7.4,7.5,8.1,7.1,7.2,7.1,6.5,10.0,11
,OTAY MESA DVN,25.1,42.3,35.6,35.5,46.9,24.1,30.0,34.7,M,M,19.2,11.8,15.0,12.6,7.2,7.7,7.0,9.2,27.2,16.7,8.7,15.3,21.3,27.9,21.8,46.9,04
,PENDLETON,6.8,6.6,6.1,5.9,6.2,6.2,6.3,6.3,6.3,6.6,10.6,10.5,12.1,10.6,11.1,10.6,9.1,P,,,P,7.9,7.4,7.0,8.0,12.1,12
,SAN YSIDRO,33.4,43.3,38.8,34.3,22.1,17.6,13.4,13.3,15.9,13.4,12.5,13.3,11.2,11.0,9.6,11.0,11.2,11.4,9.3,20.3,18.6,16.8,14.9,49.3,19.4,49.3,23
12 VWDR °,ALPINE,123,121,120,117,116,119,117,125,146,174,212,252,287,292,274,279,339,53,80,70,102,93,94,53,0,339,16
,CHULA VISTA,95,55,41,94,101,102,92,84,4,107,268,252,251,250,255,238,149,126,38,42,74,76,102,75,0,268,10
,DOWNTOWN SES,38,24,34,62,64,54,53,326,256,150,265,285,289,282,251,208,166,151,336,347,26,35,22,63,0,347,19
,EL CAJON LES,146,105,109,184,115,231,143,255,271,22,287,269,232,259,253,264,192,100,164,93,120,100,229,272,0,287,10
,KEARNY MESA,59,62,54,74,65,61,51,25,298,49,226,252,235,239,276,297,336,93,334,20,42,47,36,43,0,336,16
,OTAY MESA DVN,356,93,353,14,84,128,128,136,161,175,159,267,301,305,313,314,319,67,112,124,24,61,125,117,0,356,00
,PENDLETON,69,71,70,72,66,69,61,67,72,42,209,237,257,284,290,265,185,P,,,P,42,57,50,0,290,14
13 SIGTHETA °,ALPINE,15,14,13,13,13,12,15,14,17,40,34,40,30,25,27,31,34,23,29,23,13,24,14,19,22,40,09
,CHULA VISTA,45,15,30,8,45,19,15,25,55,58,31,19,18,17,19,26,42,48,31,39,16,12,18,35,29,58,09
,DOWNTOWN SES,14,16,22,23,12,57,27,34,48,34,30,24,24,23,21,22,23,30,18,17,45,31,24,49,28,57,05
,EL CAJON LES,38,40,51,22,51,66,55,59,33,33,34,23,27,22,21,22,29,23,41,49,44,33,43,48,38,66,05
,KEARNY MESA,6,15,9,5,4,5,6,18,32,52,25,15,18,15,16,11,34,18,28,20,19,9,20,12,17,52,09
,OTAY MESA DVN,27,34,26,28,39,9,31,16,28,22,14,35,10,12,16,15,15,38,12,36,19,15,19,30,23,39,04
,PENDLETON,11,19,8,8,9,8,12,8,29,49,18,15,15,16,17,15,21,P,,,P,12,12,9,16,49,09
14 VWSP MPH,ALPINE,3.3,2.7,2.3,2.3,2.1,2.5,2.2,2.7,3.4,3.2,3.2,2.6,3.6,4.4,3.9,2.4,1.0,1.3,.7,.6,1.7,.9,1.3,1.2,.0,4.4,13
,CHULA VISTA,.9,.8,.9,2.6,2.5,2.3,3.0,1.8,.7,.3,3.5,4.3,4.0,5.3,3.7,1.3,.5,.3,.8,.7,1.0,1.9,1.8,2.0,.0,5.3,13
,DOWNTOWN SES,2.4,1.9,1.7,1.7,2.6,1.0,3.1,1.0,.7,1.7,3.7,3.9,3.8,4.1,3.7,2.3,2.2,.9,2.4,2.3,.7,2.1,2.4,.9,.0,4.1,13
,EL CAJON LES,.3,.5,.2,.1,.7,.2,.6,.3,.9,.6,1.2,4.0,4.5,4.7,4.5,2.5,1.7,1.7,.5,1.2,.3,.9,.6,.4,.0,4.7,13
,KEARNY MESA,3.4,2.3,2.9,4.2,4.4,4.3,5.5,2.0,1.9,.6,4.3,5.6,6.3,7.9,6.7,4.1,.4,2.1,1.4,1.9,2.3,4.0,5.1,5.0,.0,7.9,13
,OTAY MESA DVN,1.5,1.0,1.8,.8,1.1,3.1,1.8,1.9,1.5,3.8,6.2,4.2,5.9,6.5,5.5,4.7,4.2,1.8,3.8,1.7,2.6,2.8,2.4,1.9,.0,6.5,13
,PENDLETON,4.7,3.0,6.1,7.0,6.5,7.7,6.0,6.7,3.8,.7,3.4,2.8,3.2,3.5,2.5,2.5,1.3,P,,,P,6.3,6.6,7.0,.0,7.7,05
15 SWSP MPH,ALPINE,3.4,2.7,2.3,2.3,2.1,2.5,2.2,2.8,3.6,3.7,4.2,3.5,4.4,4.8,4.4,2.8,1.3,1.7,.8,1.0,1.7,1.0,1.4,1.8,2.6,4.8,13
,CHULA VISTA,1.0,.8,1.0,2.6,2.6,2.3,3.0,2.0,1.0,1.5,4.0,4.5,4.2,5.5,4.0,1.6,1.2,.7,1.1,.8,1.0,2.0,1.9,2.5,2.2,5.5,13
,DOWNTOWN SES,2.4,2.1,1.9,1.8,2.6,1.3,3.2,1.2,1.5,2.1,4.3,4.2,4.1,4.6,4.2,3.2,2.4,1.1,2.5,2.4,1.0,2.2,3.2,1.2,2.5,4.6,13
,EL CAJON LES,.7,.7,.4,.8,.8,.3,1.2,.5,1.1,1.3,1.7,4.3,5.0,5.2,5.1,2.8,1.9,1.8,1.0,1.4,1.2,1.0,.9,.5,1.7,5.2,13
,KEARNY MESA,3.4,2.4,3.0,4.3,4.5,4.4,5.5,3.0,2.3,2.2,5.0,5.8,6.7,8.1,7.0,4.2,2.8,2.5,1.7,2.0,2.5,4.1,5.6,5.1,4.1,8.1,13
,OTAY MESA DVN,1.6,1.4,2.1,1.3,1.5,3.1,2.0,2.1,1.8,4.4,6.4,6.6,6.1,6.8,5.8,4.9,4.4,3.1,3.9,2.2,2.7,3.6,2.5,2.7,3.5,6.8,13
,PENDLETON,4.8,3.2,6.2,7.1,6.6,7.7,6.1,6.7,4.3,2.4,3.9,2.9,3.5,3.7,2.7,2.6,1.7,P,,,P,6.5,6.8,7.1,4.8,7.7,05
16 AMBTEMP °F,ALPINE,62.2,61.1,61.2,62.0,61.3,61.3,61.9,66.1,71.9,74.3,75.8,75.7,74.8,73.8,72.4,69.6,66.2,63.6,63.2,63.1,63.7,64.1,63.3,61.1,66.4,75.8,10
,CARMEL MT RCH,57.0,57.6,56.6,55.1,55.5,55.2,54.7,60.1,65.7,70.6,75.7,77.6,79.0,76.2,73.8,71.6,69.1,67.3,66.0,64.4,61.4,58.6,57.9,56.8,64.3,79.0,12
,CHULA VISTA,55.6,54.5,53.6,55.3,55.2,54.7,56.3,61.2,67.9,73.3,77.1,71.9,71.8,70.3,70.2,69.4,68.3,65.3,63.1,60.9,58.4,57.8,57.1,57.4,62.8,77.1,10
,DOWNTOWN SES,58.5,57.7,57.2,55.4,56.9,54.7,56.8,60.6,67.8,72.9,74.6,73.1,74.8,73.7,73.1,70.3,66.8,64.4,64.1,62.9,60.7,59.5,60.7,57.8,64.0,74.8,12
,EL CAJON LES,51.0,49.2,48.1,46.8,45.6,45.2,45.1,50.5,60.1,67.4,75.7,79.6,80.1,77.6,75.5,73.5,69.8,65.4,62.3,60.1,57.7,54.9,52.7,51.3,60.2,80.1,12
,KEARNY MESA,60.7,59.6,57.6,56.7,57.7,57.7,59.0,65.8,70.5,74.4,77.9,77.3,78.2,77.0,74.5,71.8,69.8,66.4,64.2,62.0,59.5,59.7,58.9,58.7,65.7,78.2,12
,OTAY MESA DVN,61.5,61.0,59.1,59.4,58.7,57.9,59.2,61.2,68.6,74.6,79.2,78.8,72.9,72.1,71.3,70.0,67.5,65.5,64.6,65.6,63.2,61.8,61.3,58.0,65.5,79.2,10
,PENDLETON,55.3,54.1,54.2,54.4,53.2,52.5,53.5,56.0,63.5,68.4,68.6,68.1,66.7,66.6,66.3,65.5,64.2,P,,,P,56.7,57.7,56.5,60.1,68.6,10
,SAN YSIDRO,54.0,53.4,52.5,51.5,51.3,54.5,57.3,65.8,69.2,74.2,77.6,71.5,71.3,71.0,71.5,69.7,68.4,65.1,62.8,60.3,57.6,55.6,56.0,55.7,62.4,77.6,10
17 RELHUM %,ALPINE,20,20,19,18,19,20,20,19,16,15,14,14,16,17,19,20,22,23,23,23,21,20,20,23,19,23,17
,EL CAJON LES,43,46,49,52,55,57,58,49,35,26,21,17,18,19,18,19,25,30,34,37,40,44,48,50,37,58,06
,KEARNY MESA,26,27,30,31,31,30,29,23,19,18,16,19,15,14,17,18,22,25,25,27,30,30,31,32,24,32,23
18 PRES mmHg,EL CAJON LES,750,750,749,749,749,749,750,750,750,750,749,749,748,748,748,748,748,748,748,749,749,749,749,749,749,750,00
,KEARNY MESA,750,750,750,750,750,750,750,751,751,751,750,750,749,749,749,749,749,749,749,750,750,750,750,750,750,751,07
19 SOLAR W/M2,EL CAJON LES,-3,-3,-2,-2,-2,-1,11,42,171,441,542,374,397,302,241,109,19,-6,-3,-4,-3,-4,-3,-2,109,542,10
,KEARNY MESA,0,0,0,0,0,0,31,205,336,531,617,486,480,414,229,126,30,0,0,0,0,0,0,0,145,617,10
20 UVRAD W/M2,EL CAJON LES,0,0,0,0,0,0,1,7,14,23,29,23,23,17,13,7,1,0,0,0,0,0,0,0,7,29,10
25 NOY,EL CAJON LES,22.28,20.93,20.85,17.90,17.97,C,C,41.31,38.98,29.96,21.05,C,C,25.89,11.62,12.31,12.93,17.58,22.89,22.79,29.22,29.12,29.59,32.89,23.90,41.31,07
26 NOY-NO,EL CAJON LES,21.72,20.49,20.18,17.14,17.29,C,C,22.95,23.51,20.57,15.50,C,C,22.06,9.82,11.25,12.25,17.24,21.95,22.26,27.69,28.06,27.70,29.95,20.47,29.95,23
27 NO Trace,EL CAJON LES,.55,.43,.67,.75,.68,C,C,18.36,15.46,9.39,5.54,C,C,3.82,1.79,1.06,.67,.33,.94,.52,1.52,1.06,1.88,2.93,3.41,18.36,07
28 SO2 Tr PPB,EL CAJON LES,.1,.1,C,C,C,.1,.1,M,C,C,C,.2,.4,.5,.3,.4,.2,.2,.2,.2,.2,.2,.1,.2,.2,.5,13
29 CO Tr PPB,EL CAJON LES,503.2,459.1,C,C,C,575.2,543.9,M,C,C,C,293.2,412.6,457.6,273.9,276.6,313.5,448.9,513.8,505.2,563.1,574.5,547.9,637.9,464.7,637.9,23
BCarbon ug/m3,10TH AVE MARINE TERM,1.87,<,<,<,2.10,1.96,1.64,2.21,<,<,2.59,<,<,1.67,<,1.21,1.83,1.83,1.96,3.22,<,3.25,2.84,2.39,2.17,3.25,21
,BOSTON AVE,1.20,.90,.91,1.03,1.37,1.99,2.94,1.72,3.05,<,<,1.81,1.65,1.26,.89,1.49,2.22,2.02,2.68,3.05,3.11,2.64,1.86,1.68,1.89,3.11,20
,CHICANO PARK,1.07,.90,.81,1.56,1.04,1.14,<,1.73,<,1.30,1.66,1.80,1.68,.96,<,<,1.54,1.63,2.13,<,3.06,2.66,<,1.90,1.59,3.06,20
,DOWNTOWN SES,.92,.73,.85,1.42,1.79,1.64,1.11,1.23,2.04,<,1.48,1.84,1.60,.98,<,.95,1.53,1.66,2.37,2.36,<,2.39,1.27,1.39,1.50,2.39,21
,OCEANVIEW BLVD,1.63,.82,.66,.69,<,<,1.08,1.41,<,.64,.89,<,1.41,.90,<,1.19,1.45,1.82,<,<,2.56,2.10,1.63,1.55,1.32,2.56,20
,SAN YSIDRO,5.67,<,<,5.99,4.04,<,2.41,1.95,2.36,1.93,1.71,1.39,<,1.11,1.52,1.24,1.25,1.47,1.25,2.52,2.66,2.68,<,8.48,2.72,8.48,23
PM10 STD,ALPINE,8.0,8.0,7.8,7.2,7.7,8.4,10.4,17.8,17.1,12.9,11.9,11.0,21.4,46.1,41.4,37.6,31.3,28.4,26.2,23.0,14.7,11.3,12.4,14.1,18.1,46.1,13
,CARMEL MT RCH,16.7,18.7,17.0,16.4,15.5,20.8,23.8,36.3,30.0,29.0,38.9,32.0,36.3,43.1,34.1,32.3,25.6,29.7,24.9,28.0,28.7,28.8,32.2,34.3,28.0,43.1,13
,CHULA VISTA,37.2,50.1,37.4,60.6,69.5,46.6,60.3,68.4,72.5,85.3,101.2,98.7,M,M,31.9,30.3,26.4,33.7,35.9,36.4,40.5,33.2,31.8,43.7,51.4,101.2,10
,DOWNTOWN SES,25.1,19.3,32.5,48.9,32.4,31.2,25.3,35.7,52.5,35.9,42.2,63.2,53.7,38.7,30.5,28.1,37.9,40.2,43.4,42.7,42.3,45.6,39.1,35.2,38.4,63.2,11
,EL CAJON LES,27.7,26.6,25.7,26.1,24.1,26.5,27.4,37.5,36.3,31.8,34.7,27.4,53.8,51.0,31.8,26.3,28.8,34.1,38.9,39.6,42.3,40.9,35.4,36.9,33.8,53.8,12
,KEARNY MESA,20.6,18.7,19.1,15.7,12.5,14.5,12.3,19.2,37.0,52.4,32.1,53.9,48.6,29.4,29.8,32.4,38.7,32.3,35.1,38.8,35.4,29.2,37.5,31.4,30.2,53.9,11
,OTAY MESA DVN,106.5,141.6,150.5,89.2,123.4,74.1,210.9,267.0,M,M,219.8,97.7,109.1,89.5,35.5,48.9,39.1,45.9,117.1,122.2,58.2,110.7,131.2,148.9,115.3,267.0,07
,PENDLETON,23.3,20.1,17.1,16.8,16.8,16.0,18.8,23.3,29.4,24.6,48.9,33.5,35.1,33.7,36.1,36.9,26.7,P,,,P,26.8,25.3,25.2,26.7,48.9,10
,SAN YSIDRO,100.7,107.9,100.7,85.2,60.1,51.1,61.7,75.6,95.7,79.3,85.7,57.1,49.8,42.7,42.6,43.5,45.7,53.3,50.6,76.6,74.7,67.9,68.8,207.1,74.3,207.1,23
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
